"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100uF/10V","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C2","10u/10V","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C4,C6","0.1u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C5,C7,C8,C9","1u","~","Capacitor_SMD:C_0805_2012Metric","4",""
"C10","0.0022u (NM)","~","Capacitor_SMD:C_0805_2012Metric","1",""
"D1,D5,D6","1N4148W","https://www.vishay.com/docs/85748/1n4148w.pdf","Diode_SMD:D_SOD-123","3",""
"D2","LED(NM)","~","LED_SMD:LED_0805_2012Metric","1",""
"D4","PMEG3020ER","https://assets.nexperia.com/documents/data-sheet/PMEG3020ER.pdf","Diode_SMD:Nexperia_CFP3_SOD-123W","1",""
"J1,J6","JST B2B-PH（NM) ","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","2",""
"J2,J5","JST B2B-PH（NM)","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","2",""
"J4","2.54ｍｍピッチ","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"Q1","SS8050","http://www.unisonic.com.tw/datasheet/S8050.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q3","S8050","http://www.unisonic.com.tw/datasheet/S8050.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"R4","100","~","Resistor_SMD:R_0805_2012Metric","1",""
"R5","1k(NM)","~","Resistor_SMD:R_0805_2012Metric","1",""
"R6,R13,RV1","10k","~","-- ミックスされた値 --","3",""
"R8","220","~","Resistor_SMD:R_0805_2012Metric","1",""
"R9","1M","~","Resistor_SMD:R_0805_2012Metric","1",""
"R10,R12","22k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R11","2M","~","Resistor_SMD:R_0805_2012Metric","1",""
"R14,R15","10k(NM)","~","Resistor_SMD:R_0805_2012Metric","2",""
"R16","0Ω","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","Play_SW","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U2","ATtiny402-SS","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny202-402-AVR-MCU-with-Core-Independent-Peripherals_and-picoPower-40001969A.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","W25Q64BVSSIG","","Package_DIP:CERDIP-8_W7.62mm_SideBrazed_Socket","1",""
"U4","IS31AP4991A-GRLS2-TR","","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
